Accession	AJ_F1_1	NOD_M1_1	C_F1_1	P_M1_1	NZO_F1_1	WSB_M1_1	B_F1_1	129_M1_1	B_M2_1	129_F2_1	Pool_1	AJ_F2_2	NOD_M2_2	C_F2_2	P_M2_2	NZO_F2_2	WSB_M2_2	B_F2_2	129_M2_2	NZO_M1_2	WSB_F1_2	Pool_2	AJ_M1_3	NOD_F1_3	C_M1_3	P_F1_3	NZO_M1_3	WSB_F1_3	B_M1_3	129_F1_3	C_F2_3	P_M2_3	Pool_3	AJ_M2_4	NOD_F2_4	C_M2_4	P_F2_4	NZO_M2_4	WSB_F2_4	B_M2_4	129_F2_4	AJ_F1_4	NOD_M1_4	Pool_4
sp|Q922Q1|MARC2_MOUSE	32295536	29186499	35757220	32847176	27617462	37954720	26575818	32779308	21004710	32307509	31227681	32579093	39196753	32437868	27964211	29027600	33426859	24319439	32434274	23408536	36249289	31227681	32242345	40126744	26251431	37686653	21430546	35072677	24397394	29093058	33551676	29556215	31227681	33416060	32731949	32913213	32563588	24146583	37487596	22617495	33054045	31945734	30916791	31227681
sp|P20029|BIP_MOUSE	32726549	37475989	31716235	32867411	29909769	50081951	29453044	30573628	33921731	23822033	33284681	36053060	17790423	29563250	41480223	28612111	53385991	29920003	30625424	30077185	28859084	33284681	38056976	22214472	48535062	28492773	31636176	29923541	32424185	27514807	31138809	42893524	33284681	42622553	14964182	44684782	27704545	31249507	31472979	33752046	25154458	31885870	38444353	33284681
sp|P58252|EF2_MOUSE	33398435	34563866	36446678	34325798	30257870	38229175	27096823	32099076	34468949	28001658	33090061	30865385	20885601	31648493	37562733	31412053	43474109	32956369	34474180	29853682	30977477	33090061	38854719	30455993	39711945	29411530	34995255	29930165	29277795	30630878	30479937	36255311	33090061	35858107	15781625	38538337	32254635	37602258	30060119	33971235	28981313	34062822	33802481	33090061
sp|P11499|HS90B_MOUSE	26281162	27536111	31421960	28388141	30653404	32605888	33374862	28403952	30202938	30709855	29792749	29399518	27180463	32197218	32724936	31140497	29951671	28255565	29144782	25812818	32370575	29792749	28059654	29604445	32044413	29479280	26545791	32511963	30552843	28587990	31944759	29378352	29792749	27907852	14623375	36406646	35443999	29437077	30466504	29720862	30819599	27432773	27568040	29792749
sp|Q9DCW4|ETFB_MOUSE	35313058	34276378	33018346	29954839	27301512	26846654	30349748	29033351	24348988	32370556	30541682	36582831	42004648	37216506	35144886	28364009	26862289	25814799	25379595	25671334	30734399	30541682	29777005	37970298	29089102	33843685	25565985	28600399	30948846	26589739	32643175	30600218	30541682	30707429	44852008	28771035	29971911	23114653	28979723	24963637	32606110	32736494	34007935	30541682
sp|Q922D8|C1TC_MOUSE	33141222	26486429	29418795	30167943	33801688	24173839	35048666	29044562	29426976	35887540	30581977	33133230	27514651	33504937	26990861	34308963	26322296	32008013	30834125	29984743	32698187	30581977	30744340	29036294	30937687	29749483	29921215	32338811	35026680	32956725	30316570	25050302	30581977	31111455	20315209	30524013	31343521	29410709	31859917	31175361	36577046	32805252	27424584	30581977
sp|Q9WVL0|MAAI_MOUSE	37684399	31495582	19688848	20330095	38054577	28641532	41123538	37086709	39807538	39884964	32320296	38163965	21692187	19481480	21381232	36203220	30520485	41443517	37080207	37257536	34404918	32320296	38832029	32844504	25997914	20937327	39334705	39019142	38949665	38010336	26117043	23834036	32320296	35164381	17220583	23101260	20866207	39916036	36838331	39254713	40541534	37414200	32088656	32320296
sp|P70694|DHB5_MOUSE	34414833	39825355	13886453	21370412	26331773	27723861	33181962	40073850	37959477	30526627	29677574	34996156	17895180	12635685	17590022	24382253	28038088	44475053	44317919	27391151	29143204	29677574	42962372	33700658	21495668	21720888	27775413	29256213	41471405	38548322	14404142	22092689	29677574	37746590	9367643	17561344	21770652	27404254	27843322	37595358	31929483	35305253	44717929	29677574
sp|P27773|PDIA3_MOUSE	26908083	33211646	27171161	32896111	25442894	36958775	27204802	29112648	26923204	22163015	29041145	32167287	16934954	27599584	36176149	26664144	39686090	27835735	28258953	25369425	25603971	29041145	35511376	20715218	36121652	25758282	27048310	27641491	29062719	26114694	25514192	35409315	29041145	36097342	9831083	36026216	26690829	28715151	27554802	29321867	23485090	29367440	32530117	29041145
sp|Q8VCN5|CGL_MOUSE	24848853	17832482	59778104	30733468	29780988	25568544	21460675	22225558	17351620	23566464	28578971	22455438	34602056	51429667	20638457	27891424	24819702	17910409	21706788	21714791	51375482	28578971	22759846	28129049	32946098	29009679	22154443	44460427	20709952	20600820	47907058	19920050	28578971	26149867	39599682	41649659	28795754	27856155	41463172	18060373	24431030	23294949	17045901	28578971
sp|P62897|CYC_MOUSE_family	26588258	26863591	34141524	34814621	29929619	35519053	17345919	31701864	19185860	25629742	28902840	25585140	33537340	27691517	33418903	28708680	31251276	21863066	28856754	28347901	29595589	28902840	28050571	23402008	30987469	38052516	32972798	32570774	19800411	33090954	20379465	25414054	28902840	32076234	30965669	32656595	27295075	30728332	29674342	21282273	27573062	28064354	27515959	28902840
sp|P14152|MDHC_MOUSE	31882191	30032496	19661811	25135414	29856142	26303467	31369422	29427460	34403352	28644924	28235347	31942122	28332348	20648683	22694310	30145920	25634754	34330196	28613866	31489300	28389375	28235347	36348152	29862076	25342603	20264193	32436117	30278959	31940117	30564840	20896069	23792682	28235347	32302989	27698973	21852051	21827114	31026297	27124954	34165812	29257605	30793990	29304564	28235347
sp|Q9QXF8|GNMT_MOUSE	18554881	32777344	22181830	33569618	27760226	37342090	27724296	32633265	29306955	40171565	29665408	15798748	45189904	22092556	26559821	28131591	30443859	27530397	30369561	33546580	34972276	29665408	20488847	42068704	23048487	32105346	32100727	36686239	28703539	31554151	23910866	27904216	29665408	18415846	45214720	20390804	26864815	30693341	45098526	28597839	42009338	18421309	34657794	29665408
sp|Q91ZJ5|UGPA_MOUSE	27228223	28144557	20257085	40340811	19547564	16572421	32217531	23447165	30707093	23621670	26514706	24536001	41751196	23226021	33454821	20159186	17337260	34899258	24872601	24505663	24979171	26514706	29017379	25669469	20298452	33494144	26007472	25477394	30140580	20771615	22403329	29998611	26514706	25885824	28244961	20754030	30167294	29111239	21775736	30181234	25383496	27443118	27365075	26514706
sp|Q8BH95|ECHM_MOUSE	26755482	29129394	24823435	29918688	24993062	25528879	24864720	24323197	19086888	26392764	25922608	27796042	35148791	28470056	28944693	24657098	24998055	22348021	21281822	22413968	28692437	25922608	23345157	32037030	18111186	33226081	23432890	28812063	25639605	21574688	24976263	27351430	25922608	23836387	35718643	20243067	31915688	22351862	28241167	20224415	24805078	27193775	27683042	25922608
sp|Q9D0F9|PGM1_MOUSE	31890964	29507269	19106533	21751570	31228639	21979569	33052965	26776968	33420390	28603874	27237464	30567347	19976478	19013138	22320089	31766701	26108411	34589781	27464349	33195133	26305543	27237464	35995823	26027315	21609315	20879910	37482304	28633708	32914737	28067165	19676309	20663111	27237464	31643165	15044342	19629885	17926254	34515566	26242124	34369953	31383177	31500118	28787958	27237464
sp|P17751|TPIS_MOUSE	29299922	29293075	28013182	30862226	28609229	28145676	29808384	29753932	28991997	28190921	29168278	28724077	32476738	27292417	27339820	28198733	31443689	30390849	29308982	29590584	25809412	29168278	32481058	29303318	35229522	25424127	30761267	25649043	29194282	28667885	27329997	27968047	29168278	30556971	29868787	34254169	28853577	30382913	23818474	29693044	28345892	27810409	27320676	29168278
sp|P63017|HSP7C_MOUSE	27889762	27155863	33457094	26036517	29362240	33901601	29344658	27421417	28022111	26954597	28961485	31564789	27282999	36659412	30139206	29754047	30667476	27357368	24766177	25632863	29474818	28961485	25688878	28704996	35846897	30032865	24765564	29377936	28432979	27661069	31724392	28351107	28961485	27053206	18185506	35270331	34009955	26407950	30878472	28617444	28242502	27148139	27493120	28961485
sp|P16331|PH4H_MOUSE	18362136	19721562	21436233	37434293	22087271	38428508	24902815	32895463	25067654	28347844	26862857	16982077	32262427	22224105	34176010	21196799	27980800	26974475	31970422	23169829	25432006	26862857	24080248	35632526	23389401	22388520	23594011	26124365	29010067	28498442	22537114	34928234	26862857	24155353	35689135	29189942	26805299	26962282	26923367	29902458	31045153	20578380	23797159	26862857
sp|Q71RI9|KAT3_MOUSE	36177214	5760026	26732724	40405274	32502915	24482744	26823246	11853108	14268744	36183630	26251524	30127139	34879873	29458165	28563529	30682837	23143082	12433774	11110055	14085433	62768327	26251524	17340120	28427678	15523626	36805941	13756338	50578820	27792919	21008803	25671332	24717605	26251524	19530974	52212042	19318271	42690349	15933579	36967576	18643527	28721625	31462766	8774373	26251524
sp|P97872|FMO5_MOUSE	20957489	24545351	19122463	27190482	26068088	44522027	19727047	31236082	26755318	25786799	26261203	16373297	19255298	14558973	33624006	21458917	28542920	27762951	32839899	29399544	29647511	26261203	28077490	18957717	21484976	24118704	32469982	31368843	22136296	29367117	14894447	37413496	26261203	28493706	18650015	22846931	21742363	36681365	30843724	30151951	26072226	21982600	25052844	26261203
sp|P50544|ACADV_MOUSE	28785349	23898482	28402089	25524141	23410755	22892979	20307318	26658470	19618023	32281050	25331239	28480940	32316537	29051203	33885061	22677876	23613868	18079587	24922519	18636740	24522945	25331239	20934621	29466024	22710222	28794284	18495681	24366832	21438589	28217843	26964032	31062265	25331239	23763733	38506629	25056972	26868958	19209259	22091936	19812398	31943007	27986671	23283855	25331239
sp|P38647|GRP75_MOUSE	25088268	26462026	25858003	32502186	23589082	27879311	21705114	26623958	22211231	26851172	26184346	25442444	33810410	26234546	32826156	22841453	25589352	20946265	25993320	22666305	26853286	26184346	24062218	29777620	24083042	29727133	22701532	25546114	22518315	26107341	25650610	30702661	26184346	23927638	38068247	25254289	28980656	23638713	25838793	22839709	26871399	25077012	25978666	26184346
sp|Q61941|NNTM_MOUSE	37512770	27470781	24239932	27868737	30338437	23006227	1455665	22432284	981742	30195893	23702269	32717030	31617302	26570161	24800183	27884094	25858332	1887521	21327003	22531694	27638423	23702269	24819741	32525364	17090748	32191573	19406885	27162924	2944412	27578568	24212877	23322717	23702269	28260231	27186163	18093343	29946948	22630447	22454008	4046851	26972851	30582938	23422861	23702269
sp|Q9DCM2|GSTK1_MOUSE	17301214	17935949	30147087	43769709	20791772	28551511	21838573	21110594	21498311	21169906	25227138	15686926	25836589	26709500	43288265	21521163	20371160	23549367	18829124	19500987	42804187	25227138	14272657	27342487	16915788	42370122	16924106	37683721	15901793	18000457	23217587	37098148	25227138	16403531	26642751	22466869	48331285	18458145	46107540	19565239	20040052	18059496	16394206	25227138
sp|P51174|ACADL_MOUSE	35644731	27441579	24389514	24902803	27475996	19041898	24782148	21234367	18171795	32387303	25765033	35730774	38930982	26973614	24068045	26842864	24795177	18310881	20167134	20321634	29225036	25765033	27468352	36645619	16171268	29206571	19838829	27548529	26175732	28213996	23841052	20477576	25765033	26412886	44400835	16657255	25697132	20486050	21529391	17321832	33488548	32973900	26638154	25765033
sp|Q9DB77|QCR2_MOUSE	20768733	30248533	24329414	26954925	19898249	31345231	23753082	28679307	22955056	27040655	25514541	23558436	35211267	26013827	27910806	19979699	26485857	21737403	25760957	20524746	27814327	25514541	24628822	31275271	23710334	27485832	22142290	26927871	23734952	23940450	25901845	25164685	25514541	25577813	37754153	26331702	25033915	21040383	24118207	23227496	26059473	23179130	28028126	25514541
sp|Q8VC12|HUTU_MOUSE	26566921	19249249	24073885	24828801	30257392	24675810	27417368	21109033	23130805	28142691	24916678	24555331	17048481	23601033	21806154	30063748	24313477	24484872	22119450	26927375	35880811	24916678	22495894	22654851	23806007	24854209	24856463	34239651	25051718	25405210	23408822	22616284	24916678	21721939	19432738	22488494	25172928	25910471	36175014	23918343	29452869	24606088	20414261	24916678
sp|Q99J08|S14L2_MOUSE_family	24720240	25582306	16125265	21062682	28393078	20744918	30010079	26375708	23196428	24133724	23818269	24776242	14412425	17569774	20071094	30639505	18944668	29585612	28045975	29090125	22052450	23818269	27612069	24407443	16960832	20176877	29559088	25539025	27336265	26118571	17569291	22489297	23818269	23798116	7322556	15425852	23940231	31298938	25092918	25312997	26269591	25917133	27756956	23818269
sp|Q8VDD5|MYH9_MOUSE	27224678	22377576	26432582	23690482	25889378	25586635	26692159	20911474	21714594	21152326	24372120	24621571	19777914	24247939	24839223	24697178	35461322	21864518	20521313	21779285	24398501	24372120	22749615	20429741	25244367	21953870	21913943	24575507	26335690	31265858	24211639	24884492	24372120	26291548	24018588	25403975	25622418	21887284	25923259	22044731	21464001	27403888	22134432	24372120
sp|Q9DBT9|M2GD_MOUSE	28377200	2998628	24716231	18012645	35648325	21582611	30329365	29122152	25039161	31375322	24362345	25757567	1138699	26060258	15764068	30075426	19556250	22167539	28599689	33722101	38411792	24362345	24073303	1256412	21356013	26643452	35538417	38206327	25994836	26498108	26852074	16206162	24362345	25923911	2724900	22804884	23051670	32660372	41271173	26078120	32386561	29700176	2726103	24362345
sp|P68040|RACK1_MOUSE	20737542	21416829	24515353	21940267	18315822	23880636	18888446	22261890	21587229	17191398	21237117	20992191	13981175	22873330	22712802	20343933	25371219	22079206	21450603	20403351	19819119	21237117	23066271	17838469	28718399	19847968	20786560	18166797	19961522	18636118	22967533	22630835	21237117	24263266	13634249	27437658	20547865	22187948	18340956	22226850	17939826	21190325	19687815	21237117
sp|P28271|ACOHC_MOUSE	25359623	22983881	20870979	21484245	27240482	21276600	25896289	24620400	26392576	23506367	23803962	24818724	13564604	18608034	17588538	29939564	21850908	28181965	26442437	30567260	23885670	23803962	29074299	22730038	20733778	18843748	31616715	24930839	24987489	23174685	21415902	20737847	23803962	26094525	8933074	20547598	19889537	31235247	25069816	27052751	25229495	25245888	23921091	23803962
sp|Q9DBF1|AL7A1_MOUSE	19035055	24974838	22670637	37687781	19753956	25661717	17536392	22853634	23772141	18806955	23822546	19659802	29285974	23415140	35604220	19488653	20560951	24447029	23508292	24177017	19927687	23822546	23441926	23178751	23849774	30928053	22827026	19219026	18771185	18310917	22232331	33711270	23822546	25566932	20162877	26007828	28184195	22748307	21103142	24547949	19579432	20254659	27006283	23822546
sp|P28474|ADHX_MOUSE	24062494	23711005	18034080	26037053	23599911	21017349	25705982	25077505	26386128	24150318	23657597	24910897	16159152	17764284	22478956	24578915	23581419	29282569	26095723	26094442	22211278	23657597	28891982	20433859	21531709	22829168	27977456	22445965	27802078	23991258	17651650	21786385	23657597	26663410	15536865	22158884	24300228	27404128	20303939	27833956	23949303	24079195	21792422	23657597
sp|Q05421|CP2E1_MOUSE	22119472	30729635	19274415	24984418	15853640	29132178	18562691	29870799	25850541	20064949	23556930	21902507	38301850	16732340	22122746	14697378	20553846	24601098	32700980	16036088	20769418	23556930	26758441	31037236	20887268	26402876	17309826	23229740	23547154	22935265	18063198	23142588	23556930	25568229	12005570	23192649	23606335	17312171	22148699	27578810	22860046	22935085	33410020	23556930
sp|Q91V92|ACLY_MOUSE	15792620	16521299	17145386	22206129	39648848	12029673	42548785	11882615	41855272	16533631	23009017	16240276	9035582	18861863	12781978	36577664	14547912	49715488	12335952	49870432	19295511	23009017	20277674	15337926	16872977	33662767	47208545	19945997	27336345	18201465	18997761	13238475	23009017	17184085	5283375	15500703	35246031	40906972	21188040	39623978	17731996	16191858	16717990	23009017
