Accession	CC017_M_1	CC017_F_1	CC004_M_1	CC004_F_1	CC001_M_1	CC001_F_1	CC003_M_1	CC003_F_1	Pool_1	CC017_M_2	CC017_F_2	CC004_M_2	CC004_F_2	CC001_M_2	CC001_F_2	CC003_M_2	CC003_F_2	Pool_2	CC017_M_3	CC017_F_3	CC004_M_3	CC004_F_3	CC001_M_3	CC001_F_3	CC003_M_3	CC003_F_3	Pool_3
sp|P97807|FUMH_MOUSE	36509462	44070081	34673130	37155948	32642188	36527865	39969552	36553329	36950967	42331477	39765127	34610552	36122704	33846438	37397059	36274025	37747165	36950967	41016759	40722064	37976873	35134608	34479062	35071202	34976986	36098245	36950967
sp|Q99JY0|ECHB_MOUSE	38468525	40733840	37466331	37604357	37920173	35808762	35529020	33638194	37196346	38257606	34907523	40772945	37646826	36306157	41715451	35316073	33438947	37196346	38257594	40422910	38414544	38061276	33190249	37179337	36561733	35301728	37196346
sp|P35492|HUTH_MOUSE	32993643	44046851	42374150	55342737	28828359	23040245	33011696	29976459	36733473	37035727	46752412	36397029	40741339	31890489	22761844	31246051	47420979	36733473	36713165	39511858	43373470	54079854	33664703	27040156	25795401	32549000	36733473
sp|Q9D0F9|PGM1_MOUSE_family	32936784	35395957	40801121	35634075	33882142	32981178	41273414	35795494	36210822	34068558	35981293	36158960	36449274	35712377	35652845	39511144	35121071	36210822	30644472	37358359	38406990	36338550	38176515	34197801	36896512	36345176	36210822
sp|P16546|SPTN1_MOUSE	35732359	38452833	37100335	36850281	35122330	35166880	34735696	37440486	36393560	33391549	40562460	38004178	35575399	33840662	34328522	35564020	39390513	36393560	35644025	37231295	37017616	39395465	35662867	35793381	34373098	35359170	36393560
sp|P28271|ACOHC_MOUSE	32810160	36192086	35250911	34725680	37487580	36845423	42451290	33751155	36197215	36426425	30403921	36058569	34525985	37375300	37343982	44289502	31495438	36197215	35189260	35344016	36414295	35734561	37196525	35030108	38088677	36323349	36197215
sp|P19157|GSTP1_MOUSE_family	41802074	25739494	16766320	11772666	15454456	66500163	117988848	19068052	35922012	46884759	17637445	13753640	11281345	10062560	32778719	136217685	17840708	35922012	85992997	48511038	18005633	13768820	12996391	26482777	54649860	24615406	35922012
sp|P08003|PDIA4_MOUSE	38383155	32186181	30193120	30096840	30193260	42638505	41321905	46421169	35687390	34335311	31244455	36649871	33457238	29434678	44522025	43756514	33318344	35687390	38365137	30104988	29024333	30069380	28249969	45845822	45847540	41070491	35687390
sp|Q9Z2I8|SUCB2_MOUSE	34257508	32971710	40241525	36971253	35614156	34755973	33237171	31843305	35168283	34370601	31702896	36046649	33729794	43843938	38272204	30353043	31560647	35168283	33647762	33079428	38231871	34968907	38655060	38096499	31585879	32374602	35168283
sp|Q91XD4|FTCD_MOUSE	38679232	31062501	33701049	33180180	32509379	32266650	47485020	32183828	35050156	37962403	32587535	33190457	31854594	30730248	29494857	51436010	32069132	35050156	40905948	32504368	34496849	33884113	32943565	35553112	38152922	31193868	35050156
sp|Q9D379|HYEP_MOUSE	32109110	39513061	27773036	31447090	28155645	40295091	62196237	26719106	35148724	33685092	33134519	24547104	37626217	20569755	34141029	64777460	35525085	35148724	27851549	53392169	26150331	35991326	20346463	23655838	55261574	35021505	35148724
sp|P25444|RS2_MOUSE	36843668	33205397	30019962	30958409	30427334	35633467	40139497	44051252	34702726	35954559	32983043	33437810	33765303	31804730	37473488	40336171	33507882	34702726	37014391	33550729	28633079	31285605	32017101	35061449	42252344	41095887	34702726
sp|Q8K2B3|SDHA_MOUSE	37100801	33746369	36568723	34409478	37509743	36687953	32124982	27909516	34718822	36138268	33012464	35434942	33907225	34476180	36957596	33136552	34312791	34718822	36960868	33842209	37172057	34162560	34470963	40106569	31166616	27138833	34718822
sp|Q9D8E6|RL4_MOUSE	36670571	33160360	30105413	30473270	29365188	33278773	34751011	41983215	33368669	33428362	33060197	35228859	30454018	26644519	34663923	41758699	32574679	33368669	35618352	32146044	29220577	30887468	28369166	33898241	41201900	38359952	33368669
sp|Q9DD20|TMT1B_MOUSE	29605279	25664047	26705084	26035945	32687057	37721908	48635616	44050078	33451292	30958028	32245802	27765214	28596057	33568014	36068487	46300907	31549418	33451292	27508109	30470214	24423544	25697150	34564176	32088095	49686546	47744739	33451292
sp|Q91W98|S15A4_MOUSE	23427364	48399254	29933831	35277505	45891679	27841684	22687760	27744326	33328720	28477572	47787630	31176590	26106484	44424330	26881568	23129681	36798882	33328720	28102702	44094893	32038453	34624397	40595992	27851627	25459440	30537048	33328720
sp|P05201|AATC_MOUSE	30669320	39432174	39632713	50843984	29325974	23039120	19021967	25252289	32825957	32410502	44142249	35164879	42217790	27705506	23120315	16706506	43525416	32825957	34028849	37194952	38716785	48801013	28399616	22709304	22097721	30861778	32825957
sp|Q61425|HCDH_MOUSE	28326802	31644339	36678071	38447808	35116316	31844514	24280182	32240773	32790268	31510242	29651046	38912776	38405583	35513637	35167683	24193643	28307576	32790268	28320789	29625770	38906216	37516804	34352312	32349934	29915662	30403239	32790268
sp|P50544|ACADV_MOUSE	38698481	27463364	34296661	27425863	34056600	36496629	31107486	33964248	32854020	34500513	31631455	32709516	30419208	32841892	40430706	30818067	30988026	32854020	34533915	28791291	34261338	28400376	33029558	37804838	35117615	30804020	32854020
sp|P42125|ECI1_MOUSE	24925468	37807096	28693312	39439013	31790827	31055481	38183052	28138778	32481677	24973826	30830676	29217261	43567211	32869012	33960408	35910907	29595358	32481677	25406312	38133023	29939159	40073153	34686607	28532912	31138885	29970240	32481677
sp|P58710|GGLO_MOUSE	31047833	32958543	25961898	27883536	38084701	41310068	30747844	27083158	31629289	29643328	30688577	25848996	28370557	39441843	32304770	33428094	30861603	31629289	30847034	35783690	24285087	29269404	41325393	31072382	26508863	34192666	31629289
sp|Q922Q1|MARC2_MOUSE	30310633	40035162	33557903	40383287	31066443	31048120	28165633	26046650	32554201	33566750	32667400	34696528	41165343	33971088	29679466	24499865	31203604	32554201	31566594	39183148	32923383	37632696	34926544	27549384	26829712	27097760	32554201
sp|P40142|TKT_MOUSE	28877140	31848327	36320361	31847232	30290082	29156100	37898972	27225805	31743662	29526131	30438839	35368677	28559647	26895097	28843752	41622435	30915516	31743662	28175965	32698016	36453806	32436963	28129344	34807033	33244300	24905892	31743662
sp|Q80XL6|ACD11_MOUSE	29612716	39785952	34679444	37834907	31096612	28606236	29373621	27416121	32453521	24957946	43961710	28923090	35676074	33299786	29407815	22449638	41967907	32453521	24474337	40604681	35023324	41055081	34392584	28605581	25518886	26812657	32453521
sp|Q8VDD5|MYH9_MOUSE	30589448	27076984	33209970	28537277	34914339	35941742	31478679	35741322	32205021	31391890	29076770	35067686	30382352	32609081	37392344	31460022	29625179	32205021	31204405	26001250	32825464	27483496	36470455	39538501	32424777	31959099	32205021
sp|Q91YQ5|RPN1_MOUSE	29715923	31677556	27407081	31086285	27502302	34096220	37441407	37623585	31649714	32067181	26537060	31276096	32522815	28761299	37667731	38583690	26630042	31649714	31063413	30688218	27862254	29671496	28670868	35290551	37205430	33713289	31649714
sp|O08749|DLDH_MOUSE	32937413	33366604	33461117	32530085	31369339	34524676	28671170	28163372	31747058	31983720	31654118	32254194	34636878	31358862	31470961	27874610	33059837	31747058	30979989	33267112	33361665	32926964	31143522	32872752	29966920	27675501	31747058
sp|Q91V92|ACLY_MOUSE	20963712	28701972	21394823	26443307	32477064	29009194	41176774	51716198	31348878	30655682	26104203	26078478	25566036	28759436	35132559	50430134	27256126	31348878	25059121	29720037	25615944	25983657	29241584	34835113	40976503	44189624	31348878
sp|Q99K67|AASS_MOUSE	25158974	42824026	34210291	39069414	30977482	28200161	28898478	17852240	30978880	24564725	44031658	26641078	31587763	31240090	26340782	20670042	44054669	30978880	25061318	35756615	36752363	38905022	36812387	33028401	17114697	19826471	30978880
sp|Q64458|CP2CT_MOUSE	31813273	31014896	21153658	20557103	30381501	21235000	52965835	30321137	29822335	30316951	29111442	16670616	22161720	37122315	25621487	46927023	28448670	29822335	23895694	37033212	20762536	25022578	29289386	22852100	43511395	37087987	29822335
sp|P99029|PRDX5_MOUSE	37126437	25360843	34601930	26948918	33262672	34825393	27619618	25347092	30629536	37337019	27523706	34980129	26349020	30646829	32110969	29854535	26376425	30629536	40449555	28356502	35489538	26768788	31664050	29679688	27016962	24511257	30629536
sp|Q91WU0|EST1F_MOUSE	14259169	39690796	18585299	34316758	29357035	26586769	62306870	13583877	29507563	18622644	33070772	17990107	29502058	24091355	23971920	56809453	31631525	29507563	17874779	46102875	21772417	35378935	30073186	25995233	30576112	22729894	29507563
sp|P28474|ADHX_MOUSE	29644715	30062005	30529371	30452012	30780367	31722357	30878933	28558091	30226550	29161718	27365468	30097359	29889489	34127435	32971159	29562311	28000319	30226550	29492871	30777898	28789717	30139989	35856457	34137050	25474122	25465839	30226550
sp|P55096|ABCD3_MOUSE	23715370	37908311	23336424	30414242	27719196	37393489	39336901	23860089	29922787	22167650	29440609	20773303	30865202	35338659	35340964	32933162	31598555	29922787	21909999	40612098	23972295	34099475	32102384	26979357	28712075	26826755	29922787
sp|Q9Z2I9|SUCB1_MOUSE	30761320	30086886	30058237	31608980	28466492	31182659	28044716	29033175	29852766	31668943	30488091	29901765	31170287	28104853	31375221	28107019	29601120	29852766	30421318	31908048	30021199	29821796	29284612	28814472	29873236	27511610	29852766
sp|Q9QXX4|S2513_MOUSE	31739677	33051901	32203482	33385062	27900456	28130033	27340622	25033614	29946038	32378162	27935876	34372368	30804554	28140844	29849259	26443695	28659642	29946038	32179991	30020769	33466347	31607704	26608254	28591311	27641148	28317793	29946038
sp|Q80XN0|BDH_MOUSE	36215559	17272438	28422051	21755411	31481999	35039803	22185288	46169173	29690240	31996033	20730817	33057864	27514706	35894586	41802234	22801928	23407207	29690240	30443407	20661745	28902157	24421876	33399958	31452787	34698006	38263004	29690240
sp|Q8BW75|AOFB_MOUSE	21954821	30484501	35393060	37689428	34759000	24852385	21844090	24041310	29576813	24080781	29064528	34028215	35198867	35594784	25100876	21963270	28532583	29576813	23704400	28034184	33081596	35869807	35351705	26590016	25764397	26456422	29576813
sp|Q99LX0|PARK7_MOUSE	26820426	32020268	28882644	23726712	32044580	27387126	35929920	23562966	28722764	29711763	24419447	29566812	24103582	32539108	29822925	35102110	22636807	28722764	27346222	27901157	32199709	27039266	33148369	28175244	25555960	28405202	28722764
sp|P54071|IDHP_MOUSE	30590632	23160949	32380516	29145185	38932663	34400710	17571721	24621216	29347866	27041794	30725016	28327669	33369900	38800053	32861230	15116144	28103361	29347866	27811319	24357876	33341000	28763372	38812836	32086913	22325722	25555243	29347866
sp|P62908|RS3_MOUSE	32305385	27839026	26196810	25759507	24624956	30278599	32729382	35093974	28996949	30861186	29028530	28218410	29797867	25856662	29748749	33127532	26766204	28996949	30967466	27429928	25528847	26457907	24589683	30218363	35519364	33263498	28996949
sp|P27659|RL3_MOUSE	30063656	27927061	25895655	26723743	25554753	30512379	34030533	35751888	29178576	30426167	28876558	28215235	27631514	27194883	31931677	32945636	26946727	29178576	30824882	28912537	25918494	26008826	26112697	30042163	34074140	33392029	29178576
sp|Q9CPY7|AMPL_MOUSE	29610968	34425288	25770495	26279764	30807806	33115273	29180622	23933203	28877266	33331148	24518345	29266488	27702803	28360793	32187237	30073526	25869597	28877266	34028244	30976881	27748138	26664860	27908191	32771790	25493158	23305359	28877266
sp|P23116|EIF3A_MOUSE	27523248	29353325	24400551	26388520	25491089	29815582	32590383	34502262	28496980	28360238	26902409	26455323	26002237	25524762	31102493	35028145	28591346	28496980	29071720	27921654	24669273	27118718	24704119	30719738	32332206	32851952	28496980
sp|P16331|PH4H_MOUSE	22669004	34453152	22983632	33917667	28926260	25831468	27501868	33229840	28773284	22338640	40380567	21893546	29215361	29607816	21713722	24746198	40960041	28773284	23223861	33599272	21340574	32518236	29597545	22598211	30855986	39750182	28773284
sp|Q9DCX2|ATP5H_MOUSE	28417301	29913669	30658014	29186881	28612159	26361221	29001425	23828103	28468774	30239407	24772662	30662378	26367364	29070491	28781155	29968184	26124792	28468774	30029281	30106444	29081788	27995139	28209157	25848629	27306880	28801390	28468774
sp|Q4LDG0|S27A5_MOUSE	27174077	33912348	31895219	33084931	27163802	24663258	21597892	23394784	28068602	25231854	33770737	27793734	31450851	31597045	23941921	18622239	32322887	28068602	24995856	32755877	30359199	32265420	28734432	27491315	22580177	22800033	28068602
sp|Q68FD5|CLH1_MOUSE	29414731	26828370	29197165	25720983	26544279	27834610	30185906	34184962	28614128	26615667	27483716	31264685	28078102	25600918	29010788	32451317	28032534	28614128	28866924	26003639	29106832	27112528	26812584	32441890	31520812	26927237	28614128
sp|Q61941|NNTM_MOUSE	28468823	28100056	33679211	34347939	28742352	24748447	22242032	26182928	28687323	27738888	26813831	33141328	32864153	32429668	26986720	22462397	25773359	28687323	28037865	27485869	35168665	32354862	30266062	26141170	23984970	25085102	28687323
sp|Q62425|NDUA4_MOUSE	30016869	29014897	29319086	27943186	27216845	28457812	30200383	25144800	28345223	31960414	28115740	27538900	27676275	27431601	27692624	27672867	29403535	28345223	31283503	29424165	28807511	27499105	26043709	26376315	29096091	28315163	28345223
sp|Q9D8N0|EF1G_MOUSE	28325838	27083450	23135856	25528568	24850273	28646025	31486656	31655511	27329211	28733562	26322423	25718223	26237460	24875474	27908752	34182880	25070258	27329211	28807247	28450584	22363006	24415448	24229790	27705172	32023910	32162385	27329211
sp|P40936|INMT_MOUSE	25226081	16099177	25260665	15248172	44780307	35002252	34580100	25451015	28109522	22416495	21276093	18522554	22935087	49946555	37274645	27107988	20717461	28109522	21444808	23686302	25352111	18787782	41550951	34787644	30901890	25499434	28109522
sp|Q9WUM5|SUCA_MOUSE	29167339	28268883	28396582	27153475	30934965	27459394	24452065	27946407	28135547	26631635	28120508	29508798	27602097	31925251	29841533	24662344	26110306	28135547	26963139	29217608	29219792	27023511	31334802	29682026	25584844	24029669	28135547
sp|P63325|RS10_MOUSE	28042463	31216966	23563634	25885584	25045258	28341574	33161553	32234000	28079941	32911539	23386514	24205679	25085308	27250945	34129522	35211417	24086032	28079941	29073090	28152930	25181513	24978370	29139140	27112097	28534831	36939231	28079941
sp|Q8VC30|TKFC_MOUSE	44927898	13366217	37644276	12746193	38448530	42791318	15457662	15303809	27558400	46143265	14195808	38573897	11416397	34276247	43185480	17636363	14450214	27558400	43977090	13706161	41895863	13111469	36644109	42089537	14441705	11627971	27558400
sp|Q78JT3|3HAO_MOUSE	19731078	29817247	24720692	30819170	30180481	26983320	30850883	26731114	27652200	22035139	23895096	26938366	30839891	30741568	28571298	33658861	22837635	27652200	20472619	29268303	26049410	32267038	30568305	29124557	26318598	25493210	27652200
sp|Q9CR68|UCRI_MOUSE	22605398	32949190	22408735	28136693	28527713	28158754	29618233	24631094	26983202	27587532	23699490	24088800	25955529	28616875	29530254	29131683	26953429	26983202	25345833	29124238	25372464	28447098	26595270	27371537	27266172	25303874	26983202
sp|P68040|RACK1_MOUSE	27762304	22504018	23770179	23397986	21627315	26933930	28829927	31468360	25520112	27398841	23132273	26421306	26015061	21375290	27075878	31035675	22564180	25520112	27847218	22904922	23088509	22788315	21128775	27577081	31971488	28033317	25520112
